Date,Username,Rating,Review Text,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data
2025-02-28 01:53:12,Pengguna Google,4,"Sebenarnya aplikasi ini tuh bagus, cuman sayangnya kurang mendukung penyandang disabilitas, saya sebagai tunanetra merasa sedikit kesulitan saat menggunakan vitur percakapan suara, nah, masalah ini tuh cuman saya rasakan kalau talkbacknya aktif, soalnyaa kalau talkbacknya aktif, suara chatGPTnya jadi gak jelas, sebenarnya saya juga belum coba yang premium, saya baru mau berlangganan kalo fitur aksessibilitas nya lengkap, tapi saya udah niat mau coba-coba dulu, semoga apk ini bisa lebih bagus lgi",Sebenarnya aplikasi ini tuh bagus cuman sayangnya kurang mendukung penyandang disabilitas saya sebagai tunanetra merasa sedikit kesulitan saat menggunakan vitur percakapan suara nah masalah ini tuh cuman saya rasakan kalau talkbacknya aktif soalnyaa kalau talkbacknya aktif suara chatGPTnya jadi gak jelas sebenarnya saya juga belum coba yang premium saya baru mau berlangganan kalo fitur aksessibilitas nya lengkap tapi saya udah niat mau cobacoba dulu semoga apk ini bisa lebih bagus lgi,sebenarnya aplikasi ini tuh bagus cuman sayangnya kurang mendukung penyandang disabilitas saya sebagai tunanetra merasa sedikit kesulitan saat menggunakan vitur percakapan suara nah masalah ini tuh cuman saya rasakan kalau talkbacknya aktif soalnyaa kalau talkbacknya aktif suara chatgptnya jadi gak jelas sebenarnya saya juga belum coba yang premium saya baru mau berlangganan kalo fitur aksessibilitas nya lengkap tapi saya udah niat mau cobacoba dulu semoga apk ini bisa lebih bagus lgi,sebenarnya aplikasi ini tuh bagus cuman sayangnya kurang mendukung penyandang disabilitas saya sebagai tunanetra merasa sedikit kesulitan saat menggunakan vitur percakapan suara nah masalah ini tuh cuman saya rasakan kalau talkbacknya aktif soalnyaa kalau talkbacknya aktif suara chatgptnya jadi tidak jelas sebenarnya saya juga belum coba yang premium saya baru mau berlangganan kalau fitur aksessibilitas ya lengkap tapi saya sudah niat mau cobacoba dulu semoga apk ini bisa lebih bagus lagi,"['sebenarnya', 'aplikasi', 'ini', 'tuh', 'bagus', 'cuman', 'sayangnya', 'kurang', 'mendukung', 'penyandang', 'disabilitas', 'saya', 'sebagai', 'tunanetra', 'merasa', 'sedikit', 'kesulitan', 'saat', 'menggunakan', 'vitur', 'percakapan', 'suara', 'nah', 'masalah', 'ini', 'tuh', 'cuman', 'saya', 'rasakan', 'kalau', 'talkbacknya', 'aktif', 'soalnyaa', 'kalau', 'talkbacknya', 'aktif', 'suara', 'chatgptnya', 'jadi', 'tidak', 'jelas', 'sebenarnya', 'saya', 'juga', 'belum', 'coba', 'yang', 'premium', 'saya', 'baru', 'mau', 'berlangganan', 'kalau', 'fitur', 'aksessibilitas', 'ya', 'lengkap', 'tapi', 'saya', 'sudah', 'niat', 'mau', 'cobacoba', 'dulu', 'semoga', 'apk', 'ini', 'bisa', 'lebih', 'bagus', 'lagi']","['aplikasi', 'tuh', 'bagus', 'cuman', 'sayangnya', 'mendukung', 'penyandang', 'disabilitas', 'tunanetra', 'kesulitan', 'vitur', 'percakapan', 'suara', 'tuh', 'cuman', 'rasakan', 'talkbacknya', 'aktif', 'soalnyaa', 'talkbacknya', 'aktif', 'suara', 'chatgptnya', 'coba', 'premium', 'berlangganan', 'fitur', 'aksessibilitas', 'ya', 'lengkap', 'niat', 'cobacoba', 'semoga', 'apk', 'bagus']",aplikasi tuh bagus cuman sayang dukung sandang disabilitas tunanetra sulit vitur cakap suara tuh cuman rasa talkbacknya aktif soalnyaa talkbacknya aktif suara chatgptnya coba premium langgan fitur aksessibilitas ya lengkap niat cobacoba moga apk bagus
2025-03-07 14:35:07,Pengguna Google,5,"Aplikasi ini benar-benar membantu buat cari informasi dan menyelesaikan berbagai tugas. Desainnya simpel, responsnya cepat, jadi enak dipakai. Cuma kadang-kadang ada bug kecil, kayak jawaban yang nggak muncul atau loading yang agak lama. Semoga ke depannya bisa lebih stabil dan optimal. Tapi overall, tetap aplikasi yang sangat berguna!",Aplikasi ini benarbenar membantu buat cari informasi dan menyelesaikan berbagai tugas Desainnya simpel responsnya cepat jadi enak dipakai Cuma kadangkadang ada bug kecil kayak jawaban yang nggak muncul atau loading yang agak lama Semoga ke depannya bisa lebih stabil dan optimal Tapi overall tetap aplikasi yang sangat berguna,aplikasi ini benarbenar membantu buat cari informasi dan menyelesaikan berbagai tugas desainnya simpel responsnya cepat jadi enak dipakai cuma kadangkadang ada bug kecil kayak jawaban yang nggak muncul atau loading yang agak lama semoga ke depannya bisa lebih stabil dan optimal tapi overall tetap aplikasi yang sangat berguna,aplikasi ini benarbenar membantu buat cari informasi dan menyelesaikan berbagai tugas desainnya simpel responsnya cepat jadi enak dipakai cuma kadangkadang ada bug kecil kayak jawaban yang tidak muncul atau loading yang agak lama semoga ke depannya bisa lebih stabil dan optimal tapi overall tetap aplikasi yang sangat berguna,"['aplikasi', 'ini', 'benarbenar', 'membantu', 'buat', 'cari', 'informasi', 'dan', 'menyelesaikan', 'berbagai', 'tugas', 'desainnya', 'simpel', 'responsnya', 'cepat', 'jadi', 'enak', 'dipakai', 'cuma', 'kadangkadang', 'ada', 'bug', 'kecil', 'kayak', 'jawaban', 'yang', 'tidak', 'muncul', 'atau', 'loading', 'yang', 'agak', 'lama', 'semoga', 'ke', 'depannya', 'bisa', 'lebih', 'stabil', 'dan', 'optimal', 'tapi', 'overall', 'tetap', 'aplikasi', 'yang', 'sangat', 'berguna']","['aplikasi', 'benarbenar', 'membantu', 'cari', 'informasi', 'menyelesaikan', 'tugas', 'desainnya', 'simpel', 'responsnya', 'cepat', 'enak', 'dipakai', 'kadangkadang', 'bug', 'kayak', 'muncul', 'loading', 'semoga', 'depannya', 'stabil', 'optimal', 'overall', 'aplikasi', 'berguna']",aplikasi benarbenar bantu cari informasi selesai tugas desain simpel respons cepat enak pakai kadangkadang bug kayak muncul loading moga depan stabil optimal overall aplikasi guna
2025-02-24 00:24:18,Pengguna Google,5,"Aplikasi Chat AI yang sangat luar biasa, saya suka menggunakannya sekedar mencari informasi, belajar hal baru, bahkan menanyakan pendapat serta masukan. Kecuali keterbatasan pengguna gratisan, yang terkadang terhalang untuk mengakses fitur lebih di aplikasi ini. Saya mau berlangganan, jika harga dari Akses Plus nya bisa di kompromi lagi, atau buat langganan dengan pilihan lainnya. Terima kasih saya suka aplikasi ini.",Aplikasi Chat AI yang sangat luar biasa saya suka menggunakannya sekedar mencari informasi belajar hal baru bahkan menanyakan pendapat serta masukan Kecuali keterbatasan pengguna gratisan yang terkadang terhalang untuk mengakses fitur lebih di aplikasi ini Saya mau berlangganan jika harga dari Akses Plus nya bisa di kompromi lagi atau buat langganan dengan pilihan lainnya Terima kasih saya suka aplikasi ini,aplikasi chat ai yang sangat luar biasa saya suka menggunakannya sekedar mencari informasi belajar hal baru bahkan menanyakan pendapat serta masukan kecuali keterbatasan pengguna gratisan yang terkadang terhalang untuk mengakses fitur lebih di aplikasi ini saya mau berlangganan jika harga dari akses plus nya bisa di kompromi lagi atau buat langganan dengan pilihan lainnya terima kasih saya suka aplikasi ini,aplikasi chat ai yang sangat luar biasa saya suka menggunakannya sekedar mencari informasi belajar hal baru bahkan menanyakan pendapat serta masukan kecuali keterbatasan pengguna gratisan yang terkadang terhalang untuk mengakses fitur lebih di aplikasi ini saya mau berlangganan jika harga dari akses plus ya bisa di kompromi lagi atau buat langganan dengan pilihan lainnya terima kasih saya suka aplikasi ini,"['aplikasi', 'chat', 'ai', 'yang', 'sangat', 'luar', 'biasa', 'saya', 'suka', 'menggunakannya', 'sekedar', 'mencari', 'informasi', 'belajar', 'hal', 'baru', 'bahkan', 'menanyakan', 'pendapat', 'serta', 'masukan', 'kecuali', 'keterbatasan', 'pengguna', 'gratisan', 'yang', 'terkadang', 'terhalang', 'untuk', 'mengakses', 'fitur', 'lebih', 'di', 'aplikasi', 'ini', 'saya', 'mau', 'berlangganan', 'jika', 'harga', 'dari', 'akses', 'plus', 'ya', 'bisa', 'di', 'kompromi', 'lagi', 'atau', 'buat', 'langganan', 'dengan', 'pilihan', 'lainnya', 'terima', 'kasih', 'saya', 'suka', 'aplikasi', 'ini']","['aplikasi', 'chat', 'ai', 'suka', 'menggunakannya', 'sekedar', 'mencari', 'informasi', 'belajar', 'pendapat', 'masukan', 'kecuali', 'keterbatasan', 'pengguna', 'gratisan', 'terkadang', 'terhalang', 'mengakses', 'fitur', 'aplikasi', 'berlangganan', 'harga', 'akses', 'plus', 'ya', 'kompromi', 'langganan', 'pilihan', 'terima', 'kasih', 'suka', 'aplikasi']",aplikasi chat ai suka guna dar cari informasi ajar dapat masuk kecuali batas guna gratis terkadang halang akses fitur aplikasi langgan harga akses plus ya kompromi langgan pilih terima kasih suka aplikasi
2025-03-09 15:06:29,Pengguna Google,5,Aplikasi ini bagus untuk menanggapi pertanyaan yang susah bisa kasih foto soal dan dikasih perintah dapat menjawab dengan cepat tampa perlu diketik tapi jika tulisanya jelek lebih baik diketik aja. Aplikasi ini bagus banget,Aplikasi ini bagus untuk menanggapi pertanyaan yang susah bisa kasih foto soal dan dikasih perintah dapat menjawab dengan cepat tampa perlu diketik tapi jika tulisanya jelek lebih baik diketik aja Aplikasi ini bagus banget,aplikasi ini bagus untuk menanggapi pertanyaan yang susah bisa kasih foto soal dan dikasih perintah dapat menjawab dengan cepat tampa perlu diketik tapi jika tulisanya jelek lebih baik diketik aja aplikasi ini bagus banget,aplikasi ini bagus untuk menanggapi pertanyaan yang susah bisa kasih foto soal dan dikasih perintah dapat menjawab dengan cepat tampa perlu diketik tapi jika tulisanya jelek lebih baik diketik saja aplikasi ini bagus banget,"['aplikasi', 'ini', 'bagus', 'untuk', 'menanggapi', 'pertanyaan', 'yang', 'susah', 'bisa', 'kasih', 'foto', 'soal', 'dan', 'dikasih', 'perintah', 'dapat', 'menjawab', 'dengan', 'cepat', 'tampa', 'perlu', 'diketik', 'tapi', 'jika', 'tulisanya', 'jelek', 'lebih', 'baik', 'diketik', 'saja', 'aplikasi', 'ini', 'bagus', 'banget']","['aplikasi', 'bagus', 'menanggapi', 'susah', 'kasih', 'foto', 'dikasih', 'perintah', 'cepat', 'tampa', 'diketik', 'tulisanya', 'jelek', 'diketik', 'aplikasi', 'bagus', 'banget']",aplikasi bagus tanggap susah kasih foto kasih perintah cepat tampa ketik tulisanya jelek ketik aplikasi bagus banget
2025-03-01 15:54:12,Pengguna Google,3,"Halo saya mau bilang aplikasi nya keren ai nya juga keren, bisa jd temen ngobrol cuma mines nya semoga dapat ditambahkan fitur penyimpanan riwayat chat obrolan agar tidak ke reset saat keluar dari aplikasi nya, dan supaya pengalaman penggunaan nya lebih baik lagi, terus saya harap riwayat chat nya tidak terhapus walaupun sudah berbulan-bulan dilakukan karna ai nya itu udah mempelajari pengalaman pengguna kan jd lebih mudah, kalo riwayat chat nya di hapus atau hilang kaya balik ke nol lagi,sekian",Halo saya mau bilang aplikasi nya keren ai nya juga keren bisa jd temen ngobrol cuma mines nya semoga dapat ditambahkan fitur penyimpanan riwayat chat obrolan agar tidak ke reset saat keluar dari aplikasi nya dan supaya pengalaman penggunaan nya lebih baik lagi terus saya harap riwayat chat nya tidak terhapus walaupun sudah berbulanbulan dilakukan karna ai nya itu udah mempelajari pengalaman pengguna kan jd lebih mudah kalo riwayat chat nya di hapus atau hilang kaya balik ke nol lagisekian,halo saya mau bilang aplikasi nya keren ai nya juga keren bisa jd temen ngobrol cuma mines nya semoga dapat ditambahkan fitur penyimpanan riwayat chat obrolan agar tidak ke reset saat keluar dari aplikasi nya dan supaya pengalaman penggunaan nya lebih baik lagi terus saya harap riwayat chat nya tidak terhapus walaupun sudah berbulanbulan dilakukan karna ai nya itu udah mempelajari pengalaman pengguna kan jd lebih mudah kalo riwayat chat nya di hapus atau hilang kaya balik ke nol lagisekian,halo saya mau bilang aplikasi ya keren ai ya juga keren bisa jadi teman mengobrol cuma mines ya semoga dapat ditambahkan fitur penyimpanan riwayat chat obrolan agar tidak ke reset saat keluar dari aplikasi ya dan supaya pengalaman penggunaan ya lebih baik lagi terus saya harap riwayat chat ya tidak terhapus walaupun sudah berbulanbulan dilakukan karena ai ya itu sudah mempelajari pengalaman pengguna kan jadi lebih mudah kalau riwayat chat ya di hapus atau hilang kayak balik ke nol lagisekian,"['halo', 'saya', 'mau', 'bilang', 'aplikasi', 'ya', 'keren', 'ai', 'ya', 'juga', 'keren', 'bisa', 'jadi', 'teman', 'mengobrol', 'cuma', 'mines', 'ya', 'semoga', 'dapat', 'ditambahkan', 'fitur', 'penyimpanan', 'riwayat', 'chat', 'obrolan', 'agar', 'tidak', 'ke', 'reset', 'saat', 'keluar', 'dari', 'aplikasi', 'ya', 'dan', 'supaya', 'pengalaman', 'penggunaan', 'ya', 'lebih', 'baik', 'lagi', 'terus', 'saya', 'harap', 'riwayat', 'chat', 'ya', 'tidak', 'terhapus', 'walaupun', 'sudah', 'berbulanbulan', 'dilakukan', 'karena', 'ai', 'ya', 'itu', 'sudah', 'mempelajari', 'pengalaman', 'pengguna', 'kan', 'jadi', 'lebih', 'mudah', 'kalau', 'riwayat', 'chat', 'ya', 'di', 'hapus', 'atau', 'hilang', 'kayak', 'balik', 'ke', 'nol', 'lagisekian']","['halo', 'bilang', 'aplikasi', 'ya', 'keren', 'ai', 'ya', 'keren', 'teman', 'mengobrol', 'mines', 'ya', 'semoga', 'fitur', 'penyimpanan', 'riwayat', 'chat', 'obrolan', 'reset', 'aplikasi', 'ya', 'pengalaman', 'penggunaan', 'ya', 'harap', 'riwayat', 'chat', 'ya', 'terhapus', 'berbulanbulan', 'ai', 'ya', 'mempelajari', 'pengalaman', 'pengguna', 'mudah', 'riwayat', 'chat', 'ya', 'hapus', 'hilang', 'kayak', 'nol', 'lagisekian']",halo bilang aplikasi ya keren ai ya keren teman obrol mes ya moga fitur simpan riwayat chat obrol reset aplikasi ya alam guna ya harap riwayat chat ya hapus berbulanbulan ai ya ajar alam guna mudah riwayat chat ya hapus hilang kayak nol lagisekian
2025-02-22 07:18:28,Pengguna Google,5,"Sumpah enak banget pakai Aplikasi Ai yang ini, mudah dimengerti, bisa diajak ngobrol, mudah dikomunikasi, nggak marahan hehehe, bisa lihat foto lagi tapi sayangnya gak bisa melihat detail wajah manusia, bisanya lihat lingkungan atau lagi ngapain gitu, gapapa deh itu udah bagus!!!, tapi saya sarankan untuk pengembang Open Ai, tolong kasih fitur kirim video dan Chat GPTnya bisa melihat seperti Chat GPT melihat foto, agar jadi lebih lengkap dan Ai jadi lebih menarik, terimakasih Open Ai semoga ada",Sumpah enak banget pakai Aplikasi Ai yang ini mudah dimengerti bisa diajak ngobrol mudah dikomunikasi nggak marahan hehehe bisa lihat foto lagi tapi sayangnya gak bisa melihat detail wajah manusia bisanya lihat lingkungan atau lagi ngapain gitu gapapa deh itu udah bagus tapi saya sarankan untuk pengembang Open Ai tolong kasih fitur kirim video dan Chat GPTnya bisa melihat seperti Chat GPT melihat foto agar jadi lebih lengkap dan Ai jadi lebih menarik terimakasih Open Ai semoga ada,sumpah enak banget pakai aplikasi ai yang ini mudah dimengerti bisa diajak ngobrol mudah dikomunikasi nggak marahan hehehe bisa lihat foto lagi tapi sayangnya gak bisa melihat detail wajah manusia bisanya lihat lingkungan atau lagi ngapain gitu gapapa deh itu udah bagus tapi saya sarankan untuk pengembang open ai tolong kasih fitur kirim video dan chat gptnya bisa melihat seperti chat gpt melihat foto agar jadi lebih lengkap dan ai jadi lebih menarik terimakasih open ai semoga ada,sumpah enak banget pakai aplikasi ai yang ini mudah dimengerti bisa diajak mengobrol mudah dikomunikasi tidak marahan hehehe bisa lihat foto lagi tapi sayangnya tidak bisa melihat detail wajah manusia bisanya lihat lingkungan atau lagi mengapai begitu gapapa deh itu sudah bagus tapi saya sarankan untuk pengembang open ai tolong kasih fitur kirim video dan chat gptnya bisa melihat seperti chat gpt melihat foto agar jadi lebih lengkap dan ai jadi lebih menarik terimakasih open ai semoga ada,"['sumpah', 'enak', 'banget', 'pakai', 'aplikasi', 'ai', 'yang', 'ini', 'mudah', 'dimengerti', 'bisa', 'diajak', 'mengobrol', 'mudah', 'dikomunikasi', 'tidak', 'marahan', 'hehehe', 'bisa', 'lihat', 'foto', 'lagi', 'tapi', 'sayangnya', 'tidak', 'bisa', 'melihat', 'detail', 'wajah', 'manusia', 'bisanya', 'lihat', 'lingkungan', 'atau', 'lagi', 'mengapai', 'begitu', 'gapapa', 'deh', 'itu', 'sudah', 'bagus', 'tapi', 'saya', 'sarankan', 'untuk', 'pengembang', 'open', 'ai', 'tolong', 'kasih', 'fitur', 'kirim', 'video', 'dan', 'chat', 'gptnya', 'bisa', 'melihat', 'seperti', 'chat', 'gpt', 'melihat', 'foto', 'agar', 'jadi', 'lebih', 'lengkap', 'dan', 'ai', 'jadi', 'lebih', 'menarik', 'terimakasih', 'open', 'ai', 'semoga', 'ada']","['sumpah', 'enak', 'banget', 'pakai', 'aplikasi', 'ai', 'mudah', 'dimengerti', 'diajak', 'mengobrol', 'mudah', 'dikomunikasi', 'marahan', 'hehehe', 'lihat', 'foto', 'sayangnya', 'detail', 'wajah', 'manusia', 'bisanya', 'lihat', 'lingkungan', 'mengapai', 'gapapa', 'deh', 'bagus', 'sarankan', 'pengembang', 'open', 'ai', 'tolong', 'kasih', 'fitur', 'kirim', 'video', 'chat', 'gptnya', 'chat', 'gpt', 'foto', 'lengkap', 'ai', 'menarik', 'terimakasih', 'open', 'ai', 'semoga']",sumpah enak banget pakai aplikasi ai mudah erti ajak obrol mudah komunikasi marah hehehe lihat foto sayang detail wajah manusia bisa lihat lingkung kapai gapapa deh bagus saran kembang open ai tolong kasih fitur kirim video chat gptnya chat gpt foto lengkap ai tarik terimakasih open ai moga
2025-03-04 07:00:47,Pengguna Google,5,"Bagus, selain chat AI yang gitu-gitu aja.... Ternyata fitur GPT masih bisa di exploitasi lebih lanjut, kayak main permainan Simulasi, dll. berbasis text chat AI. Cuman... GPT nya suka melenceng dari memory!!! Jadi nya kan sebel banget!",Bagus selain chat AI yang gitugitu aja Ternyata fitur GPT masih bisa di exploitasi lebih lanjut kayak main permainan Simulasi dll berbasis text chat AI Cuman GPT nya suka melenceng dari memory Jadi nya kan sebel banget,bagus selain chat ai yang gitugitu aja ternyata fitur gpt masih bisa di exploitasi lebih lanjut kayak main permainan simulasi dll berbasis text chat ai cuman gpt nya suka melenceng dari memory jadi nya kan sebel banget,bagus selain chat ai yang gitugitu saja ternyata fitur gpt masih bisa di exploitasi lebih lanjut kayak main permainan simulasi dll berbasis text chat ai cuman gpt ya suka melenceng dari memory jadi ya kan sebel banget,"['bagus', 'selain', 'chat', 'ai', 'yang', 'gitugitu', 'saja', 'ternyata', 'fitur', 'gpt', 'masih', 'bisa', 'di', 'exploitasi', 'lebih', 'lanjut', 'kayak', 'main', 'permainan', 'simulasi', 'dll', 'berbasis', 'text', 'chat', 'ai', 'cuman', 'gpt', 'ya', 'suka', 'melenceng', 'dari', 'memory', 'jadi', 'ya', 'kan', 'sebel', 'banget']","['bagus', 'chat', 'ai', 'gitugitu', 'fitur', 'gpt', 'exploitasi', 'kayak', 'main', 'permainan', 'simulasi', 'dll', 'berbasis', 'text', 'chat', 'ai', 'cuman', 'gpt', 'ya', 'suka', 'melenceng', 'memory', 'ya', 'sebel', 'banget']",bagus chat ai gitugitu fitur gpt exploitasi kayak main main simulasi dll bas text chat ai cuman gpt ya suka lenceng memory ya sebel banget
2025-02-20 14:30:44,Pengguna Google,5,"Kekurangan dari aplikasi ini adalah tidak bisa menyimpan riwayat chat, ketika kita mau pindah ke aplikasi lain terkadang langsung hilang chat sebelumnya, dan terkadang jawaban juga gak sesuai dengan apa yang kita harapkan, tetapi banyak hal yg bisa dipelajari dari chatgpt ini, tergantung kita memakainya, bijaklah dalam menggunakan teknologi. Good untuk aplikasi ini👍",Kekurangan dari aplikasi ini adalah tidak bisa menyimpan riwayat chat ketika kita mau pindah ke aplikasi lain terkadang langsung hilang chat sebelumnya dan terkadang jawaban juga gak sesuai dengan apa yang kita harapkan tetapi banyak hal yg bisa dipelajari dari chatgpt ini tergantung kita memakainya bijaklah dalam menggunakan teknologi Good untuk aplikasi ini,kekurangan dari aplikasi ini adalah tidak bisa menyimpan riwayat chat ketika kita mau pindah ke aplikasi lain terkadang langsung hilang chat sebelumnya dan terkadang jawaban juga gak sesuai dengan apa yang kita harapkan tetapi banyak hal yg bisa dipelajari dari chatgpt ini tergantung kita memakainya bijaklah dalam menggunakan teknologi good untuk aplikasi ini,kekurangan dari aplikasi ini adalah tidak bisa menyimpan riwayat chat ketika kita mau pindah ke aplikasi lain terkadang langsung hilang chat sebelumnya dan terkadang jawaban juga tidak sesuai dengan apa yang kita harapkan tetapi banyak hal yang bisa dipelajari dari chatgpt ini tergantung kita memakainya bijaklah dalam menggunakan teknologi good untuk aplikasi ini,"['kekurangan', 'dari', 'aplikasi', 'ini', 'adalah', 'tidak', 'bisa', 'menyimpan', 'riwayat', 'chat', 'ketika', 'kita', 'mau', 'pindah', 'ke', 'aplikasi', 'lain', 'terkadang', 'langsung', 'hilang', 'chat', 'sebelumnya', 'dan', 'terkadang', 'jawaban', 'juga', 'tidak', 'sesuai', 'dengan', 'apa', 'yang', 'kita', 'harapkan', 'tetapi', 'banyak', 'hal', 'yang', 'bisa', 'dipelajari', 'dari', 'chatgpt', 'ini', 'tergantung', 'kita', 'memakainya', 'bijaklah', 'dalam', 'menggunakan', 'teknologi', 'good', 'untuk', 'aplikasi', 'ini']","['kekurangan', 'aplikasi', 'menyimpan', 'riwayat', 'chat', 'pindah', 'aplikasi', 'terkadang', 'langsung', 'hilang', 'chat', 'terkadang', 'sesuai', 'harapkan', 'dipelajari', 'chatgpt', 'tergantung', 'memakainya', 'bijaklah', 'teknologi', 'good', 'aplikasi']",kurang aplikasi simpan riwayat chat pindah aplikasi terkadang langsung hilang chat terkadang sesuai harap ajar chatgpt gantung maka bijak teknologi good aplikasi
2025-02-15 13:23:20,Pengguna Google,5,saya paling akrap sama teman AI karena dia lebih cerdas dan relavan dan visi derhadap komunikasinya terutama AI yang berbasis di platfrom inc.meta AI sangat jelas sih kemajuannya bagi komunitas dan interaksi nya sehingga manusia dapat mengaksesnya lebih cepat dan mudah. Terimaksih,saya paling akrap sama teman AI karena dia lebih cerdas dan relavan dan visi derhadap komunikasinya terutama AI yang berbasis di platfrom incmeta AI sangat jelas sih kemajuannya bagi komunitas dan interaksi nya sehingga manusia dapat mengaksesnya lebih cepat dan mudah Terimaksih,saya paling akrap sama teman ai karena dia lebih cerdas dan relavan dan visi derhadap komunikasinya terutama ai yang berbasis di platfrom incmeta ai sangat jelas sih kemajuannya bagi komunitas dan interaksi nya sehingga manusia dapat mengaksesnya lebih cepat dan mudah terimaksih,saya paling akrap sama teman ai karena dia lebih cerdas dan relavan dan visi derhadap komunikasinya terutama ai yang berbasis di platfrom incmeta ai sangat jelas sih kemajuannya bagi komunitas dan interaksi ya sehingga manusia dapat mengaksesnya lebih cepat dan mudah,"['saya', 'paling', 'akrap', 'sama', 'teman', 'ai', 'karena', 'dia', 'lebih', 'cerdas', 'dan', 'relavan', 'dan', 'visi', 'derhadap', 'komunikasinya', 'terutama', 'ai', 'yang', 'berbasis', 'di', 'platfrom', 'incmeta', 'ai', 'sangat', 'jelas', 'sih', 'kemajuannya', 'bagi', 'komunitas', 'dan', 'interaksi', 'ya', 'sehingga', 'manusia', 'dapat', 'mengaksesnya', 'lebih', 'cepat', 'dan', 'mudah']","['akrap', 'teman', 'ai', 'cerdas', 'relavan', 'visi', 'derhadap', 'komunikasinya', 'ai', 'berbasis', 'platfrom', 'incmeta', 'ai', 'sih', 'kemajuannya', 'komunitas', 'interaksi', 'ya', 'manusia', 'mengaksesnya', 'cepat', 'mudah']",akrap teman ai cerdas relavan visi derhadap komunikasi ai bas platfrom incmeta ai sih maju komunitas interaksi ya manusia akses cepat mudah
2025-02-28 14:04:21,Pengguna Google,4,"kadang ada bug, kadang eror atau kalo ga ai nya kaya lemot dan berulang. bahkan kadang ngelantur sendiri atau pembahasan di luar topik dan salah paham dalam beberapa maksud. jadi perbaiki lagi ya. karena saya ga punya someone to talk terkadang saya cerita ke chat gpt.",kadang ada bug kadang eror atau kalo ga ai nya kaya lemot dan berulang bahkan kadang ngelantur sendiri atau pembahasan di luar topik dan salah paham dalam beberapa maksud jadi perbaiki lagi ya karena saya ga punya someone to talk terkadang saya cerita ke chat gpt,kadang ada bug kadang eror atau kalo ga ai nya kaya lemot dan berulang bahkan kadang ngelantur sendiri atau pembahasan di luar topik dan salah paham dalam beberapa maksud jadi perbaiki lagi ya karena saya ga punya someone to talk terkadang saya cerita ke chat gpt,kadang ada bug kadang eror atau kalau tidak ai ya kayak lemot dan berulang bahkan kadang ngelantur sendiri atau pembahasan di luar topik dan salah paham dalam beberapa maksud jadi perbaiki lagi ya karena saya tidak punya someone tapi talk terkadang saya cerita ke chat gpt,"['kadang', 'ada', 'bug', 'kadang', 'eror', 'atau', 'kalau', 'tidak', 'ai', 'ya', 'kayak', 'lemot', 'dan', 'berulang', 'bahkan', 'kadang', 'ngelantur', 'sendiri', 'atau', 'pembahasan', 'di', 'luar', 'topik', 'dan', 'salah', 'paham', 'dalam', 'beberapa', 'maksud', 'jadi', 'perbaiki', 'lagi', 'ya', 'karena', 'saya', 'tidak', 'punya', 'someone', 'tapi', 'talk', 'terkadang', 'saya', 'cerita', 'ke', 'chat', 'gpt']","['kadang', 'bug', 'kadang', 'eror', 'ai', 'ya', 'kayak', 'lemot', 'berulang', 'kadang', 'ngelantur', 'pembahasan', 'topik', 'salah', 'paham', 'maksud', 'perbaiki', 'ya', 'someone', 'talk', 'terkadang', 'cerita', 'chat', 'gpt']",kadang bug kadang eror ai ya kayak lot ulang kadang ngelantur bahas topik salah paham maksud baik ya someone talk terkadang cerita chat gpt
